fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"426",2022/04/14 00:35:00,2022/04/14 00:41:00,250,4.86,0,0,25000,"An EF-1 tornado started in the Pearl River bottom west of US Highway 49 and traveled east-northeast to where it dissipated shortly after it crossed Mississippi Highway 468 near JL Jones Drive. Near the start of the path, a few trees were blown down or damaged along Shady Lane and Old Highway 49. Then the tornado crossed Highway 49. Multiple trees were uprooted or had limbs broken along Linda Jo Drive, Lowe Circle, and Northwind Drive. The tornado crossed S Pearson Road at the intersection of W Petros Road and then moved through the Richland Creek bottom. It then moved across A Street and Lee Drive and dissipated after it crossed the intersection of MS Highway 468 and JL Jones Drive. Multiple trees were uprooted and damaged, and a tree was blown down across the railroad track nearby. A couple of power lines were also blown down near the end of the path. The peak estimated wind speed was 95 mph.",1,95,NWS Storm Survey,MS,,,621364,"1055034",Tornado,QLCS
"427",2022/04/14 00:44:00,2022/04/14 00:44:00,50,0.1,0,0,,"A narrow tornado touched down along Tatum Road in Central Shelby County, Wednesday evening. The tornado topped some trees initially, and then picked up a dog house and uprooting some cedar and maple trees. There was shingle damage to a small home, and residents heard intense wind and felt a strong pressure change. Wind speeds in this area where 80 mph, and 50 yards wide.
The tornado caused the most significant damage to a large older barn, removing and twisting a lot of metal sheeting and roof panels. Another 15 by 10 foot metal outbuilding had its roof removed. Drone video show the debris pattern twisting up into the trees up to 150 yards to the east northeast.
The rope tornado quickly lifted in a grove of trees just east of the metal outbuilding along Tatum Road.",0,80,NWS Storm Survey,KY,,,621365,"1024633",Tornado,QLCS
"428",2022/04/14 00:45:00,2022/04/14 00:46:00,100,0.21,0,0,,"The National Weather Service in Louisville confirmed an EF-1 tornado in South Central Shelby County. The tornado touched down along Rockbridge Road, about 3 miles east southeast of Interstate 64 at exit 35. Three barns had significant roof and panel damage. The wood debris from the barns impaled the ground, and insulation and metal sheeting went up into the trees and twisted. Trees were facing from a northerly direction, to an east southeasterly direction. This is consistent with a tornado of 90 mph strength.
Drone footage showed several different types of trees twisted and sheared off at the very top. The tornado lifted just past the third barn approximately 200 yards eastward in a grove of trees. Residents of the two homes affected heard a distinct roaring sound, and strong pressure around the sinuses and ears.",1,90,NWS Storm Survey,KY,,,621366,"1024641",Tornado,QLCS
"429",2022/04/14 00:48:00,2022/04/14 00:53:00,125,3.52,0,0,,"The National Weather Service in Louisville confirmed an EF-1 tornado in Eastern Shelby County. The tornado touched down just west of 2402 Highway 714, twisting a bunch of cedar trees, and then crossing 714 doing extensive tree damage. Trees were twisted, snapped, uprooted, and facing from north through southeasterly directions. The tornado uprooted and snapped dozens of trees on Bob Jeff Road, destroying one barn, just north of I-64. Large sections of the 30 by 20 solid barn were thrown 60 yards and several 2 X 4 boards were impaled in the ground. Strangely enough, a large chicken coop next to the barn which was on blocks was not moved at all. The survey crew was a bit perplexed when they located a large dismantled barn on Wolf Run. Parts of the barn were thrown 250 yards downwind. There were straight line winds in between 659 Bob Jeff Road and the barn on the southside of I-64 on Wolf Run Road. Based on radar, there was at least 2 small funnels from the same larger circulation, and for a brief time, two of them touched down, each about 100 yards wide. However, they were part of the same mesovortex with max wind of 90 mph. Another interesting thing about the solid barn on Wolf Run Road, is that a hoop barn, and an older barn, both of which were on both sides of the dismantled barn, had only minor damage. In fact, the long narrow hoop barn, only 10 yards away, was left unscathed. Along Buzzard Roost Road, just east of the Shelby Knobs. An older barn`s metal sheeting, and sections of the roof were thrown up to 300 yards east northeast. Maximum wind speeds in this area were 80 mph. A 15 by 10 foot storage outbuilding was picked up and debris thrown up to 300 yards. A large oak tree was uprooted and leaning on top of a well built house. Numerous pine and cedar trees were snapped and twisted. Several other barns had significant roof and side panel damage. Wind speeds in this area were 90 mph. The tornado straddled Highway 60, and did significant telephone pole damage and tree damage all along Highway 60. Poles were twisted and snapped over a 1 mile area. Wind speeds in this area were 90 mph. The last tornado damage point was along Highway 395 in Peytona. A couple of barns had minor roof damage and a couple of trees were snapped. Winds were estimated to be 75 mph at this location.",1,90,NWS Storm Survey,KY,,,621367,"1024654",Tornado,QLCS
"430",2022/04/14 00:54:00,2022/04/14 00:56:00,60,1.5331,0,0,,"The National Weather Service in Louisville confirmed a EF0 tornado of 70 mph in far Northeastern Shelby County from April 13. Several delayed damage reports came in, and storm survey crews went across several sections of Shelby County. The tornado began just southwest of the intersection of Ford Road and Christianburg Road in the Cropper township. Some cedar and pine trees were topped and twisted, just north of the CSX railroad. The tornado uprooted a 35 foot magnolia tree at the intersection of Ford Road and Christianburg Road, along with several other trees being topped and twisted. One barn had very minor roof panel damage too. The tornado winds were consistent at 70 mph with a width of between 50 and 60 yards. The weak tornado was intermittent, with sporadic tree damage with trees topped and twisted along Burg Creek and could located no damage further east towards Steve Wood Road. The damage corresponds well with WSR-88D imagery, especially with a tightening couplet on the velocity data around 855 pm edt. The team also went to 599 Fry s Oldburg Rd, and determined that a barn sustained 60 mph straight line winds. There was significant barn roof damage and all the damage was facing from an westerly to easterly direction.",0,70,,KY,,,,,Tornado,QLCS
"431",2022/04/14 00:57:00,2022/04/14 01:07:00,670,9.7,0,0,35000,"An EF-1 tornado started in eastern Rankin County and widened and intensified as it crossed into southwestern Scott County. As it crossed Line Creek Road, the tornado reached it's peak intensity with an estimated peak wind gust of 105 mph and width of 670 yards. At this point, numerous trees were uprooted and snapped along, and power lines were blown down. The tornado continued across Mississippi Highway 13 and damaged more trees before it began to weaken. A small farm building was damaged with its tin roof torn off along Stage Road. The tornado continued to weaken and then dissipated between Stage Rd and Mississippi Highway 481. The total path length across both counties was 9.89 miles.",1,105,NWS Storm Survey,MS,,,621368,"1055036, 1055038",Tornado,QLCS
"432",2022/04/14 01:05:00,2022/04/14 01:12:00,400,10.53,0,0,27000,"An EF-1 tornado developed near the junction of Mississippi Highway 427 and Mississippi Highway 16 and quickly moved northeast into Neshoba County. It damaged a few trees and some fencing on the Leake side of the county line, with an estimate peak wind gust of 85 mph. On the Mississippi Choctaw Reservation, the tornado crossed over BIA Road 0022 and Black Jack Road, where numerous trees were downed. The tornado reached maximum intensity in this area with peak wind gusts estimated at 105 mph. The tornado continued east-northeast across the northern extent of Lake Pushmataha where it blew down a few additional trees within a waterfront park. The tornado moved into the Pearl River wetland area and then across Marty Stuart Drive and Mississippi Highway 19. Near Highway 19, it blew down several trees including one that fell onto a shed and vehicle before it dissipated. The total path length across the two counties was 11.16 miles.",1,105,NWS Storm Survey,MS,,,621369,"1055046, 1055047",Tornado,QLCS
"433",2022/04/14 01:17:00,2022/04/14 01:19:00,200,2.32,0,0,2000,"An EF-1 tornado touched down along Interstate 20 and caused some tree damage on the south side of the Interstate, with the majority of the tree damage located in the median. Other damaged trees were noted on the north side as well off the roadway in the forest. Much of this damage was near mile markers 92 and 93. The tornado dissipated quickly after crossing the Interstate. The estimated maximum wind gust was 90 mph.",1,90,NWS Storm Survey,MS,,,621370,"1062182",Tornado,QLCS
"434",2022/04/14 01:21:00,2022/04/14 01:42:00,1500,24.67,0,0,170000,"An EF-1 tornado developed near Burnside within the wetlands surrounding the Pearl River. It uprooted and snapped numerous trees and power lines as it moved northeast toward Winston County. A home along Mississippi Highway 573 lost a portion of its roofing tin. The tornado crossed southeastern Winston County and dissipated in far western Noxubee County. The total path length across the three counties was 25.29 miles. The estimated peak gust for the portion of the tornado track in Neshoba County was 95 mph. It reached maximum intensity as it crossed from Neshoba County with estimated maximum winds of 110 mph. Numerous large trees in mixed forest were uprooted or snapped, and multiple power poles were blown down. Several trees fell onto homes, vehicles, and outbuildings. As the tornado crossed Mississippi Highway 397 near Vernon, it destroyed an awning at a convenince store and damaging a gas station canopy. The tornado continued to blow down trees and power lines and crossed into western Noxubee County. The tornado weakened and narrowed as it moved into Noxubee County. It crossed over Mississippi Highway 490 and continued to uproot a few trees near Brushfork Road. Shingle damage and minor roof damage occurred at a home in the area as the tornado dissipated.",1,110,NWS Storm Survey,MS,,,621371,"1055321, 1055337, 1055339",Tornado,QLCS
"435",2022/04/14 01:29:00,2022/04/14 01:32:00,250,2.59,0,0,5000,"An EF-1 tornado began near the intersection of US Highway 80 and Velma Moore Road. It moved east, parallel to Highway 80 and gained peak strength of 90 mph as it crossed Lawrence Hazel Road and LC Road. The tornado caused tree damage along its path including some uprooted and snapped. The tornado crossed Greene Morrow Road, weakened, and the ended on Lancaster Road.",1,90,NWS Storm Survey,MS,,,621372,"1062183",Tornado,QLCS
"436",2022/04/14 01:36:00,2022/04/14 02:19:00,1800,43.08,0,0,740000,"A tornado started just east of Mississippi Highway 15 near County Road 1561 where it caused mainly tree damage. The tornado moved east along County Road 2414, uprooted a swath of pine trees, uprooted several hardwoods, and snapped numerous large pine tree limbs. Metal roofing panels were peeled off a barn. More trees were uprooted or damaged as the tornado moved across Mississippi Highway 503 and County Road 31. Near CR31, there was widespread tree damage, a shed was destroyed, and a home had some shingles removed. The crossbar on a power pole was broken, and several power lines in this area were blown down. The tornado continued east across Country Road 24 and into Clarke County. It eventually dissipated in southern Lauderdale County. The total path length across the three counties was 43.66 miles. The estimated peak wind gust in the portion of the track in Jasper County was 105 mph, for a maximum damage rating of EF-1 in the county. A tornado started in northwestern Jasper County and moved east into northwestern Clarke County near Mississippi Highway 513, where it continued to uproot and damage numerous softwood and hardwood trees. The tornado crossed over Interstate 49 and passed on the northwest side of Enterprise where it continued to snap large tree limbs and uproot trees. Near County Road 360 I-59, a tree fell on a mobile home. The tornado intensified as it continued northeastward toward and through the Clarkdale area. Just east of County Road 357, between County Roads 350 and 379, it uprooted and snapped a swath of hardwood and softwood trees. Several homes lost portions of their roofs in a subdivision near County Roads 351 and 350. About a half mile east along CR 350, a home sustained roof damage with portions of the roof decking removed, there was substantial tree damage, and about five power poles were snapped. At this point, the tornado was nearly 1 mile wide and was at its most intense with damage receiving an EF-2 rating. Damage occurred at Clarkdale Attendance Center on the county line where a large portion of the roofing was removed. School facilities including a baseball field and batting cages were also heavily damaged. Several power poles were snapped and power lines blown down along MS Highway 145. The tornado then continued into southern Lauderdale County, eventually dissipating near the Alabama state line. The total path length across the three counties was 43.66 miles. The estimated peak wind gust in the portion of the track in Clarke County was 120 mph. A tornado started in northwestern Jasper County, moved across northern Clarke County, and crossed into Lauderdale County near US Highway 45 in the Clarkdale community. At this point, the tornado was nearly 1 mile wide and was at its most intense with damage receiving an EF-2 rating. Damage occurred at Clarkdale Attendance Center where a large portion of the roofing was removed. School facilities including a baseball field and batting cages were also heavily damaged. Several power poles were snapped and power lines blown down along MS Highway 145. There was widespread tree damage in town, where large branches fell on several homes. Part of the sign was blown off of a gas station, and there was minor damage to metal siding on a nearby business. After passing through Clarkdale, the tornado weakened to an EF-1 intensity and continued to cause damage primarily to timber across southeastern Lauderdale county. Several homes had trees blown down onto them. The tornado crossed Mississippi Highway 19 in the Whynot community before weakened and dissipated northeast of there near the Alabama state line. The total path length across the three counties was 43.66 miles. The estimated peak wind gust in the portion of the track in Lauderdale County was 120 mph.",2,120,NWS Storm Survey,MS,,,621373,"1055370, 1055380, 1055388",Tornado,QLCS
"437",2022/04/14 01:44:00,2022/04/14 02:01:00,500,14.58,0,0,75000,"An EF-1 tornado began in a wooded area near Monroe Road in western Jones County. The tornado mainly uprooted, snapped, and damaged trees as it moved east across Oak Bowery Road, Tisdale Road, and Scruggs Road. A couple of sheds were destroyed in this area, and a few mobile homes received minor roof damage. One tree fell onto a home along Sandhill Loop Road. After causing some roof damage to warehouses and homes near the Laurel Industrial Park, the tornado dissipated in a wooded area near the Park. The estimated peak wind gust was 105 mph.",1,100,NWS Storm Survey,MS,,,621374,"1057154",Tornado,QLCS
"438",2022/04/14 01:51:00,2022/04/14 02:05:00,150,10.63,0,0,8000,"One of two EF-1 tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge touched down near Section Line Road east of Loakfoma Road where it snapped a tree and downed a few limbs. It moved northeast through pasture and forest until crossing Dummy Line Road a half mile south of the northern tornado. The tornado continued into northwestern Noxubee County and eventually dissipated in southern Oktibbeha County. The estimated maximum wind gust for this portion of the tornado track was 90 mph. The total combined path length was 10.79 miles across the three counties. One of two EF-1 tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge touched down near Section Line Road in northeast Winston County and continued into northwest Noxubee County. It caused intermittent tree damage along Noxubee Cemetery Road and then crossed Bluff Lake Road. Here, several trees were uprooted in the marshy areas and near picnic pavilions on the southern end of the lake. The tornado appeared to be at its most intense as it crossed the southern end of Levee Road where it snapped and uprooted numerous trees before moving into the wooded areas east of the levee. It dissipated shortly after crossing into southern Oktibbeha County. The estimated maximum wind gust for this portion of the tornado track was 105 mph. One of two EF-1 tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge touched down in northeast Winston County and continued across northwest Noxubee County into southern Oktibbeha County west of Skinner Road. The tornado caused minor tree damage as it crossed Skinner Road and then quickly dissipated. The estimated maximum wind gust for this portion of the tornado track was 75 mph.",1,105,NWS Storm Survey,MS,,,621376,"1057156, 1057222, 1057223",Tornado,QLCS
"439",2022/04/14 01:51:00,2022/04/14 01:59:00,700,5.81,0,0,6000,One of two EF-1 tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge began in a wooded area south of Bluff Lake Road and north of Dummy Line Road. The tornado moved northeast across both roads and uprooted and snapped multiple trees. It continued into northwest Noxubee County and eventually dissipated in southern Oktibbeha County. The estimated maximum wind gust for this portion of the tornado track was 105 mph. The total combined path length was 6.00 miles across the three counties. One of two EF-1 tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge began near Bluff Lake Road and Dummy Line Road in northeast Winston County and moved into northwest Noxubee County just north of Bluff Lake Road. The tornado moved parallel to Bluff Lake Rd and uprooted and snapped multiple trees along the road. Large limbs were blown down along Office Road before the tornado moved across Bluff Lake. It continued into southern Oktibbeha County and quickly dissipated. The estimated maximum wind gust for this portion of the tornado track was 105 mph. One of two tornadoes that passed simultaneously through the Noxubee National Wildlife Refuge began in northeast Winston County and moved across northwest Noxubee County into southern Oktibbeha County west of Bluff Lake Road. The tornado continued to cause sporadic tree and limb damage along Bluff Lake Road and along Skinner Road. The tornado dissipated in a wooded area just north of Skinner Road. The estimated maximum wind gust for this portion of the tornado track was 105 mph for an EF-1 ranking.,1,105,NWS Storm Survey,MS,,,621375,"1057224, 1057226, 1057228",Tornado,QLCS
"440",2022/04/14 02:03:00,2022/04/14 02:15:00,450,9.27,0,0,40000,"An EF-1 tornado developed just west of Old Crawford Road south of the intersection with Chapel Hill Road, where the tops of several trees were snapped off. It strengthened and continued east across Crawford Road. It was here that a pole barn lost a portion of its tin roofing. The tornado continued into Lowndes County. The estimated peak wind gust was 95 mph in this portion of the track. The total path length was 9.31 miles across the two counties. An EF-1 tornado developed just west of Old Crawford Road in Oktibbeha County and moved east into Lowndes County south of Red Bud Road. It blew down several small trees and large tree branches along Schlater Road and moved northeast toward Gilmer Wilburn Road. Along its path, the tornado snapped numerous trees, blew down a utility pole, and threw several small outbuildings and wooden sheds. Several trees were uprooted along Gilmer Wilburn Rd. Shortly after crossing the Hardy Billups Road intersection, the tornado weakened dissipated. The estimated peak wind gust was 90 mph in this portion of the track.",1,95,NWS Storm Survey,MS,,,621377,"1057242, 1057243",Tornado,QLCS
"441",2022/04/14 02:11:00,2022/04/14 02:19:00,1100,7.49,0,0,320000,"An EF-1 tornado touched down along Mickens Clay Road in the Deerbrook community where it blew down some tree branches initially. The tornado continued northeast across Mississippi Highway 388 just west of Deerbrook Road and snapped and uprooted a few trees as it crossed the highway. Trees were snapped and uprooted as it continued northeast toward MS Highway 792. A residence and several barns were damaged on the west side of Highway 792. The main house lost some shingles on its western side, and two barns near the house lost the southwest facing portions of their roofs and had southwest facing walls collapse. Trees at Highway 792 were snapped and uprooted, and an open barn at the road buckled and partially collapsed. The tornado continued into farmland on the east side of Highway 792, where it overturned six center pivot segments and downed a few more trees. The tornado dissipated shortly after crossing into Lowndes County. The maximum estimated wind gust in this portion of the path was 105 mph. The total path length was 7.43 miles across the two counties. An EF-1 tornado touched down near the Deerbrook community in Noxubee County and moved northeast into Lowndes County east of Old Macon Road. The tornado damaged a roof and some decking at a home along Chat and Chew Road and then dissipated.",1,105,NWS Storm Survey,MS,,,621378,"1057270, 1057283",Tornado,QLCS
"442",2022/04/14 02:35:00,2022/04/14 02:56:00,400,17.61,0,0,,"National Weather Service meteorologists surveyed damage in far eastern Greene County and determined that it was consistent with an EF1 tornado, with maximum winds near 90 mph. The tornado touched down just southwest of the Branch Heights community on the south side of Eutaw. It tracked northeast across Joseph Wilder Circle causing minor roof and tree damage. It began to intensify as it moved northeastward, removing a portion of the roof of the housing authority building, and reached its maximum intensity as it moved along Levi Morrow Senior Court. At least 40 residences in the community suffered at least visible shingle damage, with a few residences suffering significant roof damage. The tornado continued northeast, causing roof damage to a business along Highway 43, and snapping and uprooting multiple trees in a park as it crossed Highway 14 and at the Finches Ferry Road. The tornado then crossed into Hale County near the dead end of Finches Ferry Road. National Weather Service meteorologists surveyed damage in western Hale County and determined that it was consistent with an EF1 tornado, with maximum winds near 90 mph. This tornado originated in near Eutaw in Greene County and crossed into Hale County at the Black Warrior River near Finches Ferry Road. In Akron, several trees were uprooted and an apartment building suffered minor roof damage. The tornado continued to cause occasional tree damage as it moved just north of Highway 60. Multiple trees were then uprooted along Cedarwood Road. After this point, discerning the tornado path from sporadic tree damage caused by straight line winds in the bowing segment became difficult, but the tornado appears to have dissipated prior to crossing Highway 69.",1,90,NWS Storm Survey,AL,,,621379,"1021677, 1021689",Tornado,QLCS
"443",2022/04/14 03:11:00,2022/04/14 03:12:00,50,0.65,0,0,0,"National Weather Service meteorologists surveyed damage in northeast Hale County and determined that it was consistent with an EF0 tornado, with maximum winds near 80 mph. The brief tornado touched down near County Road 50 about 500 yards east of County Road 49. Before dissipating, several trees were uprooted and snapped along its short path.",0,80,NWS Storm Survey,AL,,,621380,"1021694",Tornado,QLCS
"444",2022/04/14 03:30:00,2022/04/14 03:38:00,300,5.23,0,0,,"National Weather Service meteorologists surveyed damage in northeast Tuscaloosa County and determined that it was consistent with an EF0 tornado, with maximum winds near 80 mph. The tornado touched down east of the North River just west of Oregonia Road. It tracked northeast and uprooted several trees along Oregonia Road. The tornado caused minor damage to the skirting, siding and shingles to a manufactured home. It continued northeastward across wooded uninhabited areas before lifting along Highway 69 near Blue Creek.",0,80,NWS Storm Survey,AL,,,621381,"1021695",Tornado,QLCS
"445",2022/04/18 00:00:00,2022/04/18 00:03:00,75,0.81,0,0,5000,"An EF-1 tornado began in a field near the intersection of US Highway 49 and Mississippi Highway 540 where tree limbs were snapped in the wooded area near the northbound lane of Highway 49. Along Highway 540, numerous hardwood trees were blown down on both sides of the road. A pine tree was snapped on the northside of the road, and a large limb was snapped and twisted from a hardwood tree on the southside of the road. The tornado dissipated south of Highway 540. The estimated maximum wind gust was 95 mph.",1,95,NWS Storm Survey,MS,,,621382,"1057305",Tornado,Supercell
"446",2022/04/18 00:20:00,2022/04/18 00:21:00,25,0.2007,0,0,0,A tornado video collected by a storm chaser shows a brief tornado. A survey team found no visible damage.,,,,MS,,,,,Tornado,Supercell
"447",2022/04/18 01:01:00,2022/04/18 01:06:00,150,2.9,0,0,3000,An EF-1 tornado touched down in the vicinity of Hoy and Trace Roads and moved to the east. The tornado uprooted several trees and broke large tree limbs along its short path. It dissipated between Sharon Road and Interstate 59. The estimated peak wind gust was 90 mph.,1,90,NWS Storm Survey,MS,,,621384,"1057287",Tornado,Supercell
"448",2022/04/18 01:19:00,2022/04/18 01:20:00,50,0.26,0,0,,A brief tornado began along Highway 42 west of Richton destroying a barn and heavily damaging another barn as it quickly reached peak intensity. An open door structure and older construction supported a lower bound estimate to the damage. The tornado continued to the east northeast where several trees and large branches were snapped. A clear convergence path was noted in the damage just south of Highway 42. A carport was picked up and deposited a couple hundred yards down path in power lines. The tornado then weakened as it likely crossed Highway 42 with a few large branches snapped and a couple uproots noticed. Some shingle damage was also noted to a nearby home before the tornado lifted.,1,95,NWS Storm Survey,MS,,,621385,"1020745",Tornado,Supercell
"449",2022/04/18 01:52:00,2022/04/18 01:54:00,275,1.66,0,0,,"A bowing segment of storms produced a tornado beginning along Highway 198 near Isabelle Loop just northwest of downtown Beaumont. The tornado traveled along the tracks of the Canadian National Railroad, uprooting a tree which fell onto a manufactured home in its wake. By this time, the tornado had strengthened to an EF-2 and entered a lumber mill and caused extensive damage to two large metal buildings. One of the buildings collapsed on itself, likely due to it being only partially enclosed. Nearby power poles were damaged, with one snapped clean at its base. Damage was rated near expected bounds given the age and construction of the metal buildings which lined up to the snapped utility pole. The tornado quickly weakened somewhat (to an EF-1), and continued southeast along the railroad tracks due to the motion of the parent bowing segment. As it moved along, it caused a decent amount of tree destruction to numerous hardwood and softwood trees. As the tornado crossed Bolton Avenue and MS-15, it restrengthened briefly into an EF-2 and snapped many hardwoods and softwoods as well as uprooting several trees. It also damaged the roof of a nearby small home and the roof of a church. A shed or carport on the church property was also destroyed. More trees were damaged as the tornado continued to move southeast and also destroyed a large shed/unattached garage. The tornado then moved east, parallel to 1st Street, where it likely lifted and dissipated; however, the survey team was not able to access this area as the street was closed due to down power poles and continued tree damage.",2,120,NWS Storm Survey,MS,,,621386,"1020741",Tornado,QLCS
"450",2022/04/18 02:02:00,2022/04/18 02:06:00,400,1.77,0,1,,"A QLCS produced a tornado off of Highway 63 and Lovewell Road south of the town of Avera, initially snapping and uprooting trees. One of the trees fell onto a vehicle near a manufactured home. As the tornado moved southeast it strengthened into an EF-2, snapping and decimating many large hardwood oak trees. The degree of damage to these trees were enough to support a higher end intensity estimate. A large tree limb from one of these oak trees was turned into a projectile and injured a woman when it pierced the side of the aforementioned manufactured home. The tornado proceeded southeast, continuing to destroy hardwood trees in its wake. It passed through an open field before coming upon more trees and a small manufactured home. It snapped and uprooted many of these trees (both soft and hardwood), with two falling onto the manufactured home. The tornado then likely weakened to an EF-1 and continued southeastward, almost parallel to Highway 63. It lifted and dissipated just before it reached Avera Road, but not before tossing a large grain holder and tearing off metal portions of a nearby barn roof. Debris from this roofing was seen strewn out over the field.",2,130,NWS Storm Survey,MS,,,621387,"1020792",Tornado,QLCS
"451",2022/04/21 20:20:00,2022/04/21 20:21:00,17,0.02,0,0,0,"A brief, weak EF-U tornado touched down in a field with no reports of damage or injury. Video evidence received from trained weather spotter. Peak wind unknown with a width of less than 50 feet and path length of less than 100 feet.",,,NWS Storm Survey,CA,,,621388,"1024940",Tornado,Supercell
"452",2022/04/23 01:39:00,2022/04/23 01:40:00,25,0.09,0,0,0,"A tornado briefly touched down near the intersection of 203rd Street and 384th Avenue approximately 3.5 miles northwest of Wolsey, SD. The tornado remained in open fields with no known damage.",,,Storm Chaser,SD,,,621389,"1019485",Tornado,Supercell
"453",2022/04/23 04:42:00,2022/04/23 04:45:00,350,3.02,0,0,,"A damaging quasi-linear convective system (QLCS) tornado moved across Sharon Springs, Kansas during the late evening/overnight hours of April 22nd, 2022. Maximum winds were found to be around 110 mph, which makes this tornado an EF-1, just short of an EF-2. The worst damage was noted at the KDOT station near Highway 40 where a cinder block building was toppled and a truck shed was completely destroyed, as well as the CHS facility where the office building had its roof completely torn off. Throughout town, there were many tree limbs broken, tree trunks broken, and trees uprooted. Many buildings and vehicles had broken windows. Power poles were broken or downed throughout town. Other damage included several rolled trailers (ag-related, RVs, or work trailers), fences blown down, shingles off roofs, and other wind-related damage.",1,110,NWS Storm Survey,KS,,,621390,"1014330",Tornado,QLCS
"454",2022/04/23 05:28:00,2022/04/23 05:35:00,100,5.77,0,0,0,"WSR 88D confirmed a tornado debris signature in northern Logan County that eventually crossed into southern Thomas County. In addition, a power pole was down near wear this signature started, near the intersection of county roads Day Dream and 260 just northwest of Page City, KS. This was a Quasi-Linear Convective System (QLCS) tornado. The tornado that formed in northern Logan County, confirmed by an emergency management damage report of a power pole down and tornadic debris signature detected on NWS Goodland WSR 88D, continued into extreme southern Thomas County. No damage was reported in this very rural area. Times estimated by radar. This tornado was a Quasi-Linear Convective System (QLCS) tornado.",0,,Emergency Manager,KS,,,621391,"1021836, 1021837",Tornado,QLCS
"455",2022/04/23 05:32:00,2022/04/23 05:41:00,100,10.21,0,0,0,NWS Goodland WSR-88D confirmed a tornado moved across extreme northern Logan County. The tornado began just southeast of Page City and proceeded north-northeast into extreme southern Thomas County. No damage was reported with this tornado. This tornado was a Quasi-Linear Convective System (QLCS) tornado.,,,NWS Employee,KS,,,621392,"1021838, 1021839",Tornado,QLCS
"456",2022/04/23 06:20:00,2022/04/23 06:28:00,125,5.62,0,0,,"A quasi-linear convective system (QLCS) tornado formed in far northern Sheridan County before crossing into southern Decatur County. Damage consisted of highway signs down and/or twisted, a tree trunk was snapped, a few blown over irrigation pivots, and a railroad crossing gate was destroyed. A quasi-linear convective system (QLCS) tornado formed in far northern Sheridan County before crossing into southern Decatur County. Damage in Decatur County was a small farm outbuilding blown over near the end of the track. Approximate end point estimated by radar.",1,95,NWS Storm Survey,KS,,,621393,"1014333, 1014352",Tornado,QLCS
"457",2022/04/23 06:28:00,2022/04/23 06:36:00,125,7.76,0,0,,"Upon further review and information/video gathered, it was determined that a tornado moved across extreme southern Sheridan County. This tornado was confirmed by damage from NWS Storm Survey, tornado chaser video, and a brief/weak tornadic debris signature on NWS Goodland WSR 88D radar imagery. Damage consisted of several large healthy tree limbs snapped, one treat snapped near the base, and a power pole down. Based on the damage, maximum wind speed was determined to be 100 mph.",1,100,NWS Storm Survey,KS,,,621394,"1021840",Tornado,QLCS
"458",2022/04/23 19:35:00,2022/04/23 19:36:00,10,0.03,0,0,0,A tornado briefly touchdown in an open pasture.,0,,Public,SD,,,621395,"1022705",Landspout,Multicell
"459",2022/04/23 20:24:00,2022/04/23 20:27:00,25,0.35,0,0,0,The tornado touched down in an open field east of Adrian. The tornado impacted no structures and so there was no damage to evaluate. By National Weather Service policy the tornado is rated EF Unknown.,,,Law Enforcement,ND,,,621396,"1015491",Landspout,Multicell
"460",2022/04/23 23:21:00,2022/04/23 23:32:00,80,9.09,0,0,27500,"QLCS system was passing through central Iowa and produced a series of three tornadoes in close proximity to one another between the Des Moines metro area and Ames. This was the first tornado of the group and also the strongest. It touched down south of Madrid, Iowa and moved quickly northeast. It encountered a farmstead shortly after forming snapping tree trunks and flipping a 5th wheel camper producing EF1 damage. The tornado then remained in open farmland and crossed into Boone County. This tornado passed from Polk into Boone southeast of Madrid. It remained on the ground passing through southeast Boone county encountering a couple of farmstead with mainly minor tree damage. Otherwise, the bulk of the path was across open farmland. A TDS was also observed on the KDMX WSR-88D radar. This tornado crossed from Boone county into Story county to the southwest of Kelley, Iowa. The tornado entered Story county from Boone county and immediately passed near a farmstead. It destroyed a small empty feed bin and tossed it into a field. Otherwise, the tornado remained in open cropland before dissipating shortly thereafter.",1,,NWS Storm Survey,IA,,,621397,"1033742, 1033743, 1033744",Tornado,QLCS
"461",2022/04/23 23:23:00,2022/04/23 23:28:00,60,3.93,0,0,0,"This was the 2nd tornado of three which occurred between the Des Moines metro and Ames on this day. This particular tornado produced a TDS on the KDMX WSR-88D radar from far northern Polk into Boone county. No ground damage was observed by the ground survey, hence the EFU rating. This tornado continued into Boone County from Polk County. This tornado was observed via a TDS on the WSR-88D radar and it remained in rural cropland for the duration of its path in Boone county before lifting. No damage was observed to any damage indicators via the ground survey, hence the EFU rating.",,,Official NWS Observations,IA,,,621398,"1033745, 1033746",Tornado,QLCS
